timestamp,is_anomaly,state,label,temperatureSensor1
2025-04-07 00:00:00,False,off,Normal,20.0
2025-04-07 00:01:00,False,off,Normal,20.0
2025-04-07 00:02:00,False,off,Normal,20.0
2025-04-07 00:03:00,False,off,Normal,20.0
2025-04-07 00:04:00,False,off,Normal,20.0
2025-04-07 00:05:00,False,off,Normal,20.0
2025-04-07 00:06:00,False,off,Normal,20.0
2025-04-07 00:07:00,False,off,Normal,20.0
2025-04-07 00:08:00,False,off,Normal,20.0
2025-04-07 00:09:00,False,off,Normal,20.0
2025-04-07 00:10:00,False,off,Normal,20.0
2025-04-07 00:11:00,False,off,Normal,20.0
2025-04-07 00:12:00,False,off,Normal,20.0
2025-04-07 00:13:00,False,off,Normal,20.0
2025-04-07 00:14:00,False,off,Normal,20.0
2025-04-07 00:15:00,False,off,Normal,20.0
2025-04-07 00:16:00,False,off,Normal,20.0
2025-04-07 00:17:00,False,off,Normal,20.0
2025-04-07 00:18:00,False,off,Normal,20.0
2025-04-07 00:19:00,False,off,Normal,20.0
2025-04-07 00:20:00,False,off,Normal,20.0
2025-04-07 00:21:00,False,off,Normal,20.0
2025-04-07 00:22:00,False,off,Normal,20.0
2025-04-07 00:23:00,False,off,Normal,20.0
2025-04-07 00:24:00,False,off,Normal,20.0
2025-04-07 00:25:00,False,off,Normal,20.0
2025-04-07 00:26:00,False,off,Normal,20.0
2025-04-07 00:27:00,False,off,Normal,20.0
2025-04-07 00:28:00,False,off,Normal,20.0
2025-04-07 00:29:00,False,off,Normal,20.0
2025-04-07 00:30:00,False,off,Normal,20.0
2025-04-07 00:31:00,False,off,Normal,20.0
2025-04-07 00:32:00,False,off,Normal,20.0
2025-04-07 00:33:00,False,off,Normal,20.0
2025-04-07 00:34:00,False,off,Normal,20.0
2025-04-07 00:35:00,False,off,Normal,20.0
2025-04-07 00:36:00,False,off,Normal,20.0
2025-04-07 00:37:00,False,off,Normal,20.0
2025-04-07 00:38:00,False,off,Normal,20.0
2025-04-07 00:39:00,False,off,Normal,20.0
2025-04-07 00:40:00,False,off,Normal,20.0
2025-04-07 00:41:00,False,off,Normal,20.0
2025-04-07 00:42:00,False,off,Normal,20.0
2025-04-07 00:43:00,False,off,Normal,20.0
2025-04-07 00:44:00,False,off,Normal,20.0
2025-04-07 00:45:00,False,off,Normal,20.0
2025-04-07 00:46:00,False,off,Normal,20.0
2025-04-07 00:47:00,False,off,Normal,20.0
2025-04-07 00:48:00,False,off,Normal,20.0
2025-04-07 00:49:00,False,off,Normal,20.0
2025-04-07 00:50:00,False,off,Normal,20.0
2025-04-07 00:51:00,False,off,Normal,20.0
2025-04-07 00:52:00,False,off,Normal,20.0
2025-04-07 00:53:00,False,off,Normal,20.0
2025-04-07 00:54:00,False,off,Normal,20.0
2025-04-07 00:55:00,False,off,Normal,20.0
2025-04-07 00:56:00,False,off,Normal,20.0
2025-04-07 00:57:00,False,off,Normal,20.0
2025-04-07 00:58:00,False,off,Normal,20.0
2025-04-07 00:59:00,False,off,Normal,20.0
2025-04-07 01:00:00,False,off,Normal,20.0
2025-04-07 01:01:00,False,off,Normal,20.0
2025-04-07 01:02:00,False,off,Normal,20.0
2025-04-07 01:03:00,False,off,Normal,20.0
2025-04-07 01:04:00,False,off,Normal,20.0
2025-04-07 01:05:00,False,off,Normal,20.0
2025-04-07 01:06:00,False,off,Normal,20.0
2025-04-07 01:07:00,False,off,Normal,20.0
2025-04-07 01:08:00,False,off,Normal,20.0
2025-04-07 01:09:00,False,off,Normal,20.0
2025-04-07 01:10:00,False,off,Normal,20.0
2025-04-07 01:11:00,False,off,Normal,20.0
2025-04-07 01:12:00,False,off,Normal,20.0
2025-04-07 01:13:00,False,off,Normal,20.0
2025-04-07 01:14:00,False,off,Normal,20.0
2025-04-07 01:15:00,False,off,Normal,20.0
2025-04-07 01:16:00,False,off,Normal,20.0
2025-04-07 01:17:00,False,off,Normal,20.0
2025-04-07 01:18:00,False,off,Normal,20.0
2025-04-07 01:19:00,False,off,Normal,20.0
2025-04-07 01:20:00,False,off,Normal,20.0
2025-04-07 01:21:00,False,off,Normal,20.0
2025-04-07 01:22:00,False,off,Normal,20.0
2025-04-07 01:23:00,False,off,Normal,20.0
2025-04-07 01:24:00,False,off,Normal,20.0
2025-04-07 01:25:00,False,off,Normal,20.0
2025-04-07 01:26:00,False,off,Normal,20.0
2025-04-07 01:27:00,False,off,Normal,20.0
2025-04-07 01:28:00,False,off,Normal,20.0
2025-04-07 01:29:00,False,off,Normal,20.0
2025-04-07 01:30:00,False,idle,Normal,20.0
2025-04-07 01:31:00,False,idle,Normal,20.0
2025-04-07 01:32:00,False,idle,Normal,20.0
2025-04-07 01:33:00,False,idle,Normal,20.0
2025-04-07 01:34:00,False,idle,Normal,20.0
2025-04-07 01:35:00,False,idle,Normal,20.0
2025-04-07 01:36:00,False,idle,Normal,20.0
2025-04-07 01:37:00,False,idle,Normal,20.0
2025-04-07 01:38:00,False,idle,Normal,20.0
2025-04-07 01:39:00,False,idle,Normal,20.0
2025-04-07 01:40:00,False,idle,Normal,20.0
2025-04-07 01:41:00,False,idle,Normal,20.0
2025-04-07 01:42:00,False,idle,Normal,20.0
2025-04-07 01:43:00,False,idle,Normal,20.0
2025-04-07 01:44:00,False,idle,Normal,20.0
2025-04-07 01:45:00,False,idle,Normal,20.0
2025-04-07 01:46:00,False,idle,Normal,20.0
2025-04-07 01:47:00,False,idle,Normal,20.0
2025-04-07 01:48:00,False,idle,Normal,20.0
2025-04-07 01:49:00,False,idle,Normal,20.0
2025-04-07 01:50:00,False,idle,Normal,20.0
2025-04-07 01:51:00,False,idle,Normal,20.0
2025-04-07 01:52:00,False,idle,Normal,20.0
2025-04-07 01:53:00,False,idle,Normal,20.0
2025-04-07 01:54:00,False,idle,Normal,20.0
2025-04-07 01:55:00,False,idle,Normal,20.0
2025-04-07 01:56:00,False,idle,Normal,20.0
2025-04-07 01:57:00,False,idle,Normal,20.0
2025-04-07 01:58:00,False,idle,Normal,20.0
2025-04-07 01:59:00,False,idle,Normal,20.0
2025-04-07 02:00:00,False,run,Normal,72.45411095241077
2025-04-07 02:01:00,False,run,Normal,71.87917806910694
2025-04-07 02:02:00,False,run,Normal,72.06070760722743
2025-04-07 02:03:00,False,run,Normal,72.1556081990791
2025-04-07 02:04:00,False,run,Normal,71.45776583162606
