timestamp,is_anomaly,state,label
2025-04-07 08:00:00,False,closed,Normal
2025-04-07 08:01:00,False,closed,Normal
2025-04-07 08:02:00,False,closed,Normal
2025-04-07 08:03:00,False,closed,Normal
2025-04-07 08:04:00,False,closed,Normal
2025-04-07 08:05:00,False,closed,Normal
2025-04-07 08:06:00,False,closed,Normal
2025-04-07 08:07:00,False,closed,Normal
2025-04-07 08:08:00,False,closed,Normal
2025-04-07 08:09:00,False,closed,Normal
2025-04-07 08:10:00,False,closed,Normal
2025-04-07 08:11:00,False,closed,Normal
2025-04-07 08:12:00,False,closed,Normal
2025-04-07 08:13:00,False,closed,Normal
2025-04-07 08:14:00,False,closed,Normal
2025-04-07 08:15:00,False,closed,Normal
2025-04-07 08:16:00,False,closed,Normal
2025-04-07 08:17:00,False,closed,Normal
2025-04-07 08:18:00,False,closed,Normal
2025-04-07 08:19:00,False,closed,Normal
2025-04-07 08:20:00,False,closed,Normal
2025-04-07 08:21:00,False,closed,Normal
2025-04-07 08:22:00,False,closed,Normal
2025-04-07 08:23:00,False,closed,Normal
2025-04-07 08:24:00,False,closed,Normal
2025-04-07 08:25:00,False,closed,Normal
2025-04-07 08:26:00,False,closed,Normal
2025-04-07 08:27:00,False,closed,Normal
2025-04-07 08:28:00,False,closed,Normal
2025-04-07 08:29:00,False,closed,Normal
2025-04-07 08:30:00,False,closed,Normal
2025-04-07 08:31:00,False,closed,Normal
2025-04-07 08:32:00,False,closed,Normal
2025-04-07 08:33:00,False,closed,Normal
2025-04-07 08:34:00,False,closed,Normal
2025-04-07 08:35:00,False,closed,Normal
2025-04-07 08:36:00,False,closed,Normal
2025-04-07 08:37:00,False,closed,Normal
2025-04-07 08:38:00,False,closed,Normal
2025-04-07 08:39:00,False,closed,Normal
2025-04-07 08:40:00,False,closed,Normal
2025-04-07 08:41:00,False,closed,Normal
2025-04-07 08:42:00,False,closed,Normal
2025-04-07 08:43:00,False,closed,Normal
2025-04-07 08:44:00,False,closed,Normal
2025-04-07 08:45:00,False,closed,Normal
2025-04-07 08:46:00,False,closed,Normal
2025-04-07 08:47:00,False,closed,Normal
2025-04-07 08:48:00,False,closed,Normal
2025-04-07 08:49:00,False,closed,Normal
2025-04-07 08:50:00,False,closed,Normal
2025-04-07 08:51:00,False,closed,Normal
2025-04-07 08:52:00,False,closed,Normal
2025-04-07 08:53:00,False,closed,Normal
2025-04-07 08:54:00,False,closed,Normal
2025-04-07 08:55:00,False,closed,Normal
2025-04-07 08:56:00,False,closed,Normal
2025-04-07 08:57:00,False,closed,Normal
2025-04-07 08:58:00,False,closed,Normal
2025-04-07 08:59:00,False,closed,Normal
2025-04-07 09:00:00,False,open,Normal
2025-04-07 09:01:00,False,open,Normal
2025-04-07 09:02:00,False,open,Normal
2025-04-07 09:03:00,False,open,Normal
2025-04-07 09:04:00,False,open,Normal
2025-04-07 09:05:00,False,open,Normal
2025-04-07 09:06:00,False,open,Normal
2025-04-07 09:07:00,False,open,Normal
