timestamp,feature_0,state,is_anomaly,sensor
2025-04-07 00:00:00,666.6512411105554,long_fiber,False,output
2025-04-07 00:01:00,630.7271576257458,long_fiber,False,output
2025-04-07 00:02:00,672.3443299147837,long_fiber,False,output
2025-04-07 00:03:00,645.5534580626488,long_fiber,False,output
2025-04-07 00:04:00,654.3624261122577,long_fiber,False,output
2025-04-07 00:05:00,691.0514981071003,long_fiber,False,output
2025-04-07 00:06:00,640.5035951691808,long_fiber,False,output
2025-04-07 00:07:00,679.8821011419802,long_fiber,False,output
2025-04-07 00:08:00,670.335709179787,long_fiber,False,output
2025-04-07 00:09:00,648.3710884932459,long_fiber,False,output
2025-04-07 00:10:00,612.0749611759928,long_fiber,False,output
2025-04-07 00:11:00,684.3331465450485,long_fiber,False,output
2025-04-07 00:12:00,612.4873392925698,long_fiber,False,output
2025-04-07 00:13:00,604.3966811241318,long_fiber,False,output
2025-04-07 00:14:00,688.2152493352395,long_fiber,False,output
2025-04-07 00:15:00,648.4897598387836,long_fiber,False,output
2025-04-07 00:16:00,611.7223880625111,long_fiber,False,output
2025-04-07 00:17:00,606.4172339554226,long_fiber,False,output
2025-04-07 00:18:00,630.7051696283376,long_fiber,False,output
2025-04-07 00:19:00,675.9454975187671,long_fiber,False,output
2025-04-07 00:20:00,677.8327587475053,long_fiber,False,output
2025-04-07 00:21:00,683.1551856289661,long_fiber,False,output
2025-04-07 00:22:00,651.7714692176376,long_fiber,False,output
2025-04-07 00:23:00,615.7999602937351,long_fiber,False,output
2025-04-07 00:24:00,633.0129254318954,long_fiber,False,output
2025-04-07 00:25:00,694.2456541392155,long_fiber,False,output
2025-04-07 00:26:00,602.5113728337775,long_fiber,False,output
2025-04-07 00:27:00,666.367475138743,long_fiber,False,output
2025-04-07 00:28:00,628.0251390119066,long_fiber,False,output
2025-04-07 00:29:00,679.9668087881746,long_fiber,False,output
2025-04-07 00:30:00,694.0404079767295,long_fiber,False,output
2025-04-07 00:31:00,674.6750534926182,long_fiber,False,output
2025-04-07 00:32:00,653.9009014276321,long_fiber,False,output
